07-05-2021_13-11-15,vespa_crabro,71.397,522,0,754,232,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-11-15,anthophora_plumipes,71.604,619,0,782,130,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-11-20,anthophora_plumipes,68.979,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-07,anthophora_plumipes,74.959,638,116,928,406,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-08,anthophora_plumipes,72.828,580,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-09,anthophora_plumipes,74.802,638,116,928,406,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-10,anthophora_plumipes,77.262,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-10,anthophora_plumipes,80.607,638,116,870,406,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-11,anthophora_plumipes,79.412,638,116,870,406,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-13,vespa_crabro,81.981,580,116,812,406,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-13,bombus_hypnorum,69.593,144,57,433,317,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-14,vespa_crabro,86.815,580,116,812,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-14,vespa_crabro,79.879,568,113,870,378,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-15,bombus_hypnorum,80.411,504,108,829,432,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-15,bombus_hypnorum,71.899,144,108,432,504,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-15,bombus_hypnorum,76.606,164,98,426,492,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-15,vespa_crabro,93.341,580,58,812,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-15,vespa_crabro,89.533,603,95,826,349,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-16,bombus_hypnorum,77.651,147,117,471,442,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-17,vespa_crabro,88.786,580,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-17,vespa_crabro,61.451,528,105,880,387,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-18,vespa_crabro,90.381,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-18,vespa_crabro,72.074,634,63,888,349,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-19,vespa_crabro,81.089,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-25,vespa_crabro,85.368,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-25,vespa_crabro,91.128,572,95,858,349,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-25,bombus_hypnorum,62.841,158,63,413,413,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-25,bombus_hypnorum,72.402,144,57,462,317,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-29,vespa_crabro,71.257,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-30,vespa_crabro,61.334,638,116,870,348,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-38,bombus_pascuorum,60.413,638,58,870,290,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-38,anthophora_plumipes,60.101,279,79,559,359,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-15-38,anthophora_plumipes,80.504,376,62,658,344,empty,empty,empty,empty,empty,empty,empty,empty,empty
07-05-2021_13-26-47,apis_mellifera,72.597,650,113,819,254,empty,empty,empty,empty,empty,empty,empty,empty,empty
